DISTRICT_NAME,DISTRICT_KEY,LOCATION_NAME,LOCATION_KEY_RSP_SCH,STUDENT_NAME,STUDENT_ID,STUDENT_ID_ALT,STUDENT_GENDER,CURR_GRADE_LVL,ITEM_KEY,Assessment Description,CHALLENGE_TYPE,ETHNIC_DESC,LEP_DURATION,LEP_ELIGIBILITY,POVERTY,NUMERIC_SCORE,STANDARD_ACHIEVED,STD_ACHIEVED_CODE,TEST_STATUS,NYSESLAT_ELIGIBLE,NYSAA_ELIGIBLE,FORMER_LEP,FORMER_SWD,REPORT_SCHOOL_YEAR,MODIFIED_DATE
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 49,215999149,7029999150,Male,5,4422,Grade 5 Math,,Asian or Pacific Islander,0,YES,,360,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 50,215999150,7029999151,Male,5,4422,Grade 5 Math,,White,6,,,369,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 51,215999151,7029999152,Female,5,4422,Grade 5 Math,,Multiracial,0,,YES,406,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 52,215999152,7029999153,Male,5,4422,Grade 5 Math,,White,0,,,310,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 53,215999153,7029999154,Female,5,4422,Grade 5 Math,,Black or African American,0,,,246,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 54,215999154,7029999155,Female,5,4422,Grade 5 Math,,Asian or Pacific Islander,0,,YES,234,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 55,215999155,7029999156,Male,5,4422,Grade 5 Math,,Asian or Pacific Islander,0,,YES,341,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 56,215999156,7029999157,Male,5,4422,Grade 5 Math,Speech or Language Impairment,White,1,,YES,348,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 57,215999157,7029999158,Female,5,4422,Grade 5 Math,,Hispanic or Latino,1,,YES,315,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 58,215999158,7029999159,Male,5,4422,Grade 5 Math,,Multiracial,4,,YES,367,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 59,215999159,7029999160,Female,5,4422,Grade 5 Math,,White,0,,YES,320,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 60,215999160,7029999161,Male,5,4422,Grade 5 Math,,Multiracial,3,,YES,383,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 61,215999161,7029999162,Female,5,4422,Grade 5 Math,Other Health Impairment,White,0,,,323,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 62,215999162,7029999163,Male,5,4422,Grade 5 Math,Emotional Disturbance,White,1,YES,,336,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 63,215999163,7029999164,Male,5,4422,Grade 5 Math,,Black or African American,1,,,358,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 64,215999164,7029999165,Male,5,4422,Grade 5 Math,Learning Disability,White,0,,YES,376,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 65,215999165,7029999166,Female,5,4422,Grade 5 Math,,White,3,,,239,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 66,215999166,7029999167,Female,5,4422,Grade 5 Math,,White,6,,YES,268,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 67,215999167,7029999168,Male,5,4422,Grade 5 Math,,White,2,,YES,302,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 68,215999168,7029999169,Female,5,4422,Grade 5 Math,,Multiracial,0,YES,YES,374,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 69,215999169,7029999170,Male,5,4422,Grade 5 Math,,Asian or Pacific Islander,7,,,341,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 70,215999170,7029999171,Male,5,4422,Grade 5 Math,,Multiracial,0,,,334,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 71,215999171,7029999172,Male,5,4422,Grade 5 Math,,White,1,YES,,353,Level 4,24,TEST,,,,YES,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 72,215999172,7029999173,Male,5,4422,Grade 5 Math,,Black or African American,2,,,353,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 73,215999173,7029999174,Male,5,4422,Grade 5 Math,Hearing Impairment,Black or African American,1,,,332,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 74,215999174,7029999175,Female,5,4422,Grade 5 Math,Deafness,White,7,,YES,338,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 75,215999175,7029999176,Male,5,4422,Grade 5 Math,,White,1,,YES,337,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 76,215999176,7029999177,Male,5,4422,Grade 5 Math,,Asian or Pacific Islander,1,,,360,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 77,215999177,7029999178,Male,5,4422,Grade 5 Math,,Hispanic or Latino,3,,YES,324,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 78,215999178,7029999179,Female,5,4422,Grade 5 Math,,White,0,,YES,397,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 79,215999179,7029999180,Female,5,4422,Grade 5 Math,,Black or African American,1,,,291,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 80,215999180,7029999181,Female,5,4422,Grade 5 Math,,White,1,,,325,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 81,215999181,7029999182,Male,5,4422,Grade 5 Math,,White,2,YES,,238,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 82,215999182,7029999183,Male,5,4422,Grade 5 Math,,Hispanic or Latino,2,,YES,426,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 83,215999183,7029999184,Female,5,4422,Grade 5 Math,Speech or Language Impairment,Hispanic or Latino,4,,,363,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 84,215999184,7029999185,Female,5,4422,Grade 5 Math,Emotional Disturbance,Black or African American,2,,,324,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 85,215999185,7029999186,Male,5,4422,Grade 5 Math,Deafness,White,0,YES,,384,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 86,215999186,7029999187,Male,5,4422,Grade 5 Math,,White,7,,,225,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 87,215999187,7029999188,Female,5,4422,Grade 5 Math,,Black or African American,2,,,380,Level 4,24,TEST,,,YES,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 88,215999188,7029999189,Female,5,4422,Grade 5 Math,,Multiracial,2,YES,,319,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 89,215999189,7029999190,Male,5,4422,Grade 5 Math,,White,6,,,282,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 90,215999190,7029999191,Female,5,4422,Grade 5 Math,,White,0,,YES,361,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 91,215999191,7029999192,Female,5,4422,Grade 5 Math,,Hispanic or Latino,4,,,391,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 92,215999192,7029999193,Male,6,4420,Grade 6 Math,,White,0,YES,,309,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 93,215999193,7029999194,Male,6,4420,Grade 6 Math,,Black or African American,7,,YES,315,Level 2,22,TEST,,,,YES,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 94,215999194,7029999195,Female,6,4420,Grade 6 Math,,Black or African American,1,,YES,365,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 95,215999195,7029999196,Male,6,4420,Grade 6 Math,,White,0,,YES,401,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 96,215999196,7029999197,Male,6,4420,Grade 6 Math,Hearing Impairment,Asian or Pacific Islander,0,,YES,339,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 97,215999197,7029999198,Male,6,4420,Grade 6 Math,,Asian or Pacific Islander,0,,,367,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 98,215999198,7029999199,Male,6,4420,Grade 6 Math,Learning Disability,Multiracial,2,,,317,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 99,215999199,7029999200,Male,6,4420,Grade 6 Math,,White,0,,,339,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 100,215999200,7029999201,Male,6,4420,Grade 6 Math,Learning Disability,Hispanic or Latino,1,,YES,321,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 101,215999201,7029999202,Male,6,4420,Grade 6 Math,Learning Disability,Multiracial,1,,YES,385,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 102,215999202,7029999203,Male,6,4420,Grade 6 Math,,Asian or Pacific Islander,4,,,329,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 103,215999203,7029999204,Male,6,4420,Grade 6 Math,Speech or Language Impairment,Hispanic or Latino,0,,,364,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 104,215999204,7029999205,Male,6,4420,Grade 6 Math,,White,0,,YES,323,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 105,215999205,7029999206,Male,6,4420,Grade 6 Math,,Hispanic or Latino,4,,YES,251,Level 1,21,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 106,215999206,7029999207,Female,6,4420,Grade 6 Math,,Multiracial,4,,YES,292,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 107,215999207,7029999208,Male,6,4420,Grade 6 Math,,Hispanic or Latino,0,YES,YES,326,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 108,215999208,7029999209,Female,6,4420,Grade 6 Math,,Hispanic or Latino,2,,YES,321,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 109,215999209,7029999210,Male,6,4420,Grade 6 Math,,Hispanic or Latino,2,,YES,332,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 110,215999210,7029999211,Male,6,4420,Grade 6 Math,,Asian or Pacific Islander,3,,YES,404,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 111,215999211,7029999212,Male,6,4420,Grade 6 Math,Learning Disability,White,4,,YES,363,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 112,215999212,7029999213,Female,6,4420,Grade 6 Math,,White,1,,YES,337,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 113,215999213,7029999214,Female,6,4420,Grade 6 Math,,White,2,,,311,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 114,215999214,7029999215,Male,6,4420,Grade 6 Math,,Hispanic or Latino,7,YES,YES,396,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 115,215999215,7029999216,Male,6,4420,Grade 6 Math,,White,2,,,361,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 116,215999216,7029999217,Male,6,4420,Grade 6 Math,,Asian or Pacific Islander,0,,,386,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 117,215999217,7029999218,Female,6,4420,Grade 6 Math,,White,3,,YES,337,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 118,215999218,7029999219,Male,6,4420,Grade 6 Math,,White,1,,YES,337,Level 3,23,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 119,215999219,7029999220,Female,6,4420,Grade 6 Math,,Hispanic or Latino,0,,,346,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 120,215999220,7029999221,Male,6,4420,Grade 6 Math,,Black or African American,7,YES,YES,365,Level 4,24,TEST,,,,,2015-16,7/31/2016 0:00
DEMO DISTRICT,80099999,DEMO SCHOOL,9999,Sample Student 121,215999221,7029999222,Male,6,4420,Grade 6 Math,Speech or Language Impairment,Hispanic or Latino,2,,YES,289,Level 2,22,TEST,,,,,2015-16,7/31/2016 0:00
